# x_um	y_um	llx_um	lly_um	urx_um	ury_um	lower_layer	upper_layer	via_name	net
181.87	206.315	181.73	205.85	182.01	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
181.87	196.315	181.73	195.85	182.01	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
177.39	246.315	177.25	245.85	177.53	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
177.39	236.315	177.25	235.85	177.53	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
177.39	226.315	177.25	225.85	177.53	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
177.39	216.315	177.25	215.85	177.53	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
177.39	206.315	177.25	205.85	177.53	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
177.39	196.315	177.25	195.85	177.53	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
172.91	246.315	172.77	245.85	173.05	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
172.91	236.315	172.77	235.85	173.05	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
172.91	226.315	172.77	225.85	173.05	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
172.91	216.315	172.77	215.85	173.05	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
172.91	206.315	172.77	205.85	173.05	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
172.91	196.315	172.77	195.85	173.05	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
168.43	246.315	168.29	245.85	168.57	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
168.43	236.315	168.29	235.85	168.57	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
168.43	226.315	168.29	225.85	168.57	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
168.43	216.315	168.29	215.85	168.57	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
168.43	206.315	168.29	205.85	168.57	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
168.43	196.315	168.29	195.85	168.57	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
163.95	246.315	163.81	245.85	164.09	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
163.95	236.315	163.81	235.85	164.09	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
163.95	226.315	163.81	225.85	164.09	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
163.95	216.315	163.81	215.85	164.09	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
163.95	206.315	163.81	205.85	164.09	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
163.95	196.315	163.81	195.85	164.09	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
159.47	246.315	159.33	245.85	159.61	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
159.47	236.315	159.33	235.85	159.61	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
159.47	226.315	159.33	225.85	159.61	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
159.47	216.315	159.33	215.85	159.61	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
159.47	206.315	159.33	205.85	159.61	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
159.47	196.315	159.33	195.85	159.61	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
154.99	246.315	154.85	245.85	155.13	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
154.99	236.315	154.85	235.85	155.13	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
154.99	226.315	154.85	225.85	155.13	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
154.99	216.315	154.85	215.85	155.13	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
154.99	206.315	154.85	205.85	155.13	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
154.99	196.315	154.85	195.85	155.13	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
150.51	246.315	150.37	245.85	150.65	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
150.51	236.315	150.37	235.85	150.65	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
150.51	226.315	150.37	225.85	150.65	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
150.51	216.315	150.37	215.85	150.65	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
150.51	206.315	150.37	205.85	150.65	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
150.51	196.315	150.37	195.85	150.65	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
146.03	246.315	145.89	245.85	146.17	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
146.03	236.315	145.89	235.85	146.17	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
146.03	226.315	145.89	225.85	146.17	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
146.03	216.315	145.89	215.85	146.17	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
146.03	206.315	145.89	205.85	146.17	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
146.03	196.315	145.89	195.85	146.17	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
141.55	246.315	141.41	245.85	141.69	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
141.55	236.315	141.41	235.85	141.69	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
141.55	226.315	141.41	225.85	141.69	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
141.55	216.315	141.41	215.85	141.69	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
141.55	206.315	141.41	205.85	141.69	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
141.55	196.315	141.41	195.85	141.69	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
137.07	246.315	136.93	245.85	137.21	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
137.07	236.315	136.93	235.85	137.21	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
137.07	226.315	136.93	225.85	137.21	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
137.07	216.315	136.93	215.85	137.21	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
137.07	206.315	136.93	205.85	137.21	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
137.07	196.315	136.93	195.85	137.21	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
132.59	246.315	132.45	245.85	132.73	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
132.59	236.315	132.45	235.85	132.73	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
132.59	226.315	132.45	225.85	132.73	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
132.59	216.315	132.45	215.85	132.73	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
132.59	206.315	132.45	205.85	132.73	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
132.59	196.315	132.45	195.85	132.73	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
128.11	246.315	127.97	245.85	128.25	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
128.11	236.315	127.97	235.85	128.25	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
128.11	226.315	127.97	225.85	128.25	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
128.11	216.315	127.97	215.85	128.25	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
128.11	206.315	127.97	205.85	128.25	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
128.11	196.315	127.97	195.85	128.25	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
123.63	246.315	123.49	245.85	123.77	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
123.63	236.315	123.49	235.85	123.77	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
123.63	226.315	123.49	225.85	123.77	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
123.63	216.315	123.49	215.85	123.77	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
123.63	206.315	123.49	205.85	123.77	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
123.63	196.315	123.49	195.85	123.77	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
97.07	239.6	96.605	238.9	97.535	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
97.07	209.6	96.605	208.9	97.535	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
87.07	239.6	86.605	238.9	87.535	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
87.07	209.6	86.605	208.9	87.535	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
77.07	239.6	76.605	238.9	77.535	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
77.07	209.6	76.605	208.9	77.535	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
67.07	239.6	66.605	238.9	67.535	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
67.07	209.6	66.605	208.9	67.535	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
57.07	239.6	56.605	238.9	57.535	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
57.07	209.6	56.605	208.9	57.535	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
47.07	239.6	46.605	238.9	47.535	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
47.07	209.6	46.605	208.9	47.535	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
37.07	239.6	36.605	238.9	37.535	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
37.07	209.6	36.605	208.9	37.535	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
27.07	239.6	26.605	238.9	27.535	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
27.07	209.6	26.605	208.9	27.535	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
97.07	246.315	96.605	245.85	97.535	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
97.07	236.315	96.605	235.85	97.535	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
97.07	226.315	96.605	225.85	97.535	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
97.07	216.315	96.605	215.85	97.535	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
97.07	206.315	96.605	205.85	97.535	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
97.07	196.315	96.605	195.85	97.535	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	246.315	86.605	245.85	87.535	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	236.315	86.605	235.85	87.535	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	226.315	86.605	225.85	87.535	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	216.315	86.605	215.85	87.535	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	206.315	86.605	205.85	87.535	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	196.315	86.605	195.85	87.535	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	246.315	76.605	245.85	77.535	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	236.315	76.605	235.85	77.535	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	226.315	76.605	225.85	77.535	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	216.315	76.605	215.85	77.535	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	206.315	76.605	205.85	77.535	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	196.315	76.605	195.85	77.535	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	246.315	66.605	245.85	67.535	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	236.315	66.605	235.85	67.535	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	226.315	66.605	225.85	67.535	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	216.315	66.605	215.85	67.535	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
