u	v	kind	res_ohm
185	206	y	3.113737108e-02
186	187	x	9.205319961e-03
186	207	y	3.113737108e-02
187	188	x	9.205319961e-03
187	208	y	3.113737108e-02
188	209	y	3.113737108e-02
189	190	x	9.205319961e-03
189	210	y	3.113737108e-02
190	191	x	9.205319961e-03
190	211	y	3.113737108e-02
191	192	x	9.205319961e-03
191	212	y	3.113737108e-02
192	193	x	9.205319961e-03
192	213	y	3.113737108e-02
193	194	x	9.205319961e-03
193	214	y	3.113737108e-02
194	195	x	9.205319961e-03
194	215	y	3.113737108e-02
195	196	x	9.205319961e-03
195	216	y	3.113737108e-02
196	197	x	9.205319961e-03
196	217	y	3.113737108e-02
197	198	x	9.205319961e-03
197	218	y	3.113737108e-02
198	199	x	9.205319961e-03
198	219	y	3.113737108e-02
199	200	x	9.205319961e-03
199	220	y	3.113737108e-02
200	201	x	9.205319961e-03
200	221	y	3.113737108e-02
201	202	x	9.205319961e-03
201	222	y	3.113737108e-02
202	203	x	9.205319961e-03
202	223	y	3.113737108e-02
203	204	x	9.205319961e-03
203	224	y	3.113737108e-02
204	205	x	9.205319961e-03
204	225	y	3.113737108e-02
205	206	x	9.205319961e-03
205	226	y	3.113737108e-02
206	207	x	9.205319961e-03
206	227	y	3.113737108e-02
207	208	x	9.205319961e-03
207	228	y	3.113737108e-02
208	209	x	9.205319961e-03
208	229	y	3.113737108e-02
209	230	y	3.113737108e-02
210	211	x	9.205319961e-03
210	231	y	3.113737108e-02
211	212	x	9.205319961e-03
211	232	y	3.113737108e-02
212	213	x	9.205319961e-03
212	233	y	3.113737108e-02
213	214	x	9.205319961e-03
213	234	y	3.113737108e-02
214	215	x	9.205319961e-03
214	235	y	3.113737108e-02
215	216	x	9.205319961e-03
215	236	y	3.113737108e-02
216	217	x	9.205319961e-03
216	237	y	3.113737108e-02
217	218	x	9.205319961e-03
217	238	y	3.113737108e-02
218	219	x	9.205319961e-03
218	239	y	3.113737108e-02
219	220	x	9.205319961e-03
219	240	y	3.113737108e-02
220	221	x	9.205319961e-03
220	241	y	3.113737108e-02
221	222	x	9.205319961e-03
221	242	y	3.113737108e-02
222	223	x	9.205319961e-03
222	243	y	3.113737108e-02
223	224	x	9.205319961e-03
223	244	y	3.113737108e-02
224	225	x	9.205319961e-03
224	245	y	3.113737108e-02
225	226	x	9.205319961e-03
225	246	y	3.113737108e-02
226	227	x	9.205319961e-03
226	247	y	3.113737108e-02
227	228	x	9.205319961e-03
227	248	y	3.113737108e-02
228	229	x	9.205319961e-03
228	249	y	3.113737108e-02
229	230	x	9.205319961e-03
229	250	y	3.113737108e-02
230	251	y	3.113737108e-02
231	232	x	9.205319961e-03
231	252	y	3.113737108e-02
232	233	x	9.205319961e-03
232	253	y	3.113737108e-02
233	234	x	9.205319961e-03
233	254	y	3.113737108e-02
234	235	x	9.205319961e-03
234	255	y	3.113737108e-02
235	236	x	9.205319961e-03
235	256	y	3.113737108e-02
236	237	x	9.205319961e-03
236	257	y	3.113737108e-02
237	238	x	9.205319961e-03
237	258	y	3.113737108e-02
238	239	x	9.205319961e-03
238	259	y	3.113737108e-02
239	240	x	9.205319961e-03
239	260	y	3.113737108e-02
240	241	x	9.205319961e-03
240	261	y	3.113737108e-02
241	242	x	9.205319961e-03
241	262	y	3.113737108e-02
242	243	x	9.205319961e-03
242	263	y	3.113737108e-02
243	244	x	9.205319961e-03
243	264	y	3.113737108e-02
244	245	x	9.205319961e-03
244	265	y	3.113737108e-02
245	246	x	9.205319961e-03
245	266	y	3.113737108e-02
246	247	x	9.205319961e-03
246	267	y	3.113737108e-02
247	248	x	9.205319961e-03
247	268	y	3.113737108e-02
248	249	x	9.205319961e-03
248	269	y	3.113737108e-02
249	250	x	9.205319961e-03
249	270	y	3.113737108e-02
250	251	x	9.205319961e-03
250	271	y	3.113737108e-02
251	272	y	3.113737108e-02
252	253	x	9.205319961e-03
252	273	y	3.113737108e-02
253	254	x	9.205319961e-03
253	274	y	3.113737108e-02
254	255	x	9.205319961e-03
254	275	y	3.113737108e-02
255	256	x	9.205319961e-03
255	276	y	3.113737108e-02
256	257	x	9.205319961e-03
256	277	y	3.113737108e-02
257	258	x	9.205319961e-03
257	278	y	3.113737108e-02
258	259	x	9.205319961e-03
258	279	y	3.113737108e-02
259	260	x	9.205319961e-03
259	280	y	3.113737108e-02
260	261	x	9.205319961e-03
260	281	y	3.113737108e-02
261	262	x	9.205319961e-03
261	282	y	3.113737108e-02
262	263	x	9.205319961e-03
262	283	y	3.113737108e-02
263	264	x	9.205319961e-03
263	284	y	3.113737108e-02
264	265	x	9.205319961e-03
264	285	y	3.113737108e-02
265	266	x	9.205319961e-03
265	286	y	3.113737108e-02
266	267	x	9.205319961e-03
266	287	y	3.113737108e-02
267	268	x	9.205319961e-03
267	288	y	3.113737108e-02
268	269	x	9.205319961e-03
268	289	y	3.113737108e-02
269	270	x	9.205319961e-03
269	290	y	3.113737108e-02
270	271	x	9.205319961e-03
270	291	y	3.113737108e-02
271	272	x	9.205319961e-03
271	292	y	3.113737108e-02
272	293	y	3.113737108e-02
273	274	x	9.205319961e-03
273	294	y	3.113737108e-02
274	275	x	9.205319961e-03
274	295	y	3.113737108e-02
275	276	x	9.205319961e-03
275	296	y	3.113737108e-02
276	277	x	9.205319961e-03
276	297	y	3.113737108e-02
277	278	x	9.205319961e-03
277	298	y	3.113737108e-02
278	279	x	9.205319961e-03
278	299	y	3.113737108e-02
279	280	x	9.205319961e-03
279	300	y	3.113737108e-02
280	281	x	9.205319961e-03
280	301	y	3.113737108e-02
281	282	x	9.205319961e-03
281	302	y	3.113737108e-02
282	283	x	9.205319961e-03
