cluster_id	name	llx_um	lly_um	urx_um	ury_um	observed_a	worst_a	mesh_sum_a	instance_count
26	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[1\].i_tcdm_slave_resp_register	843.220500	505.480500	1031.358000	571.757000	4.954138182e-04	4.954138182e-04	4.040988402e-03	233
24	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[2\].i_tcdm_slave_resp_register	843.220500	459.696000	1031.358000	505.480500	4.889106364e-04	4.889106364e-04	3.614815224e-03	233
32	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_master_resp_register	49.264000	378.985000	49.264500	378.985500	1.889981273e-04	1.889981273e-04	2.221462748e-13	151
29	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[1\].i_tcdm_master_req_register	843.220500	571.757000	1031.358000	599.797000	2.720930909e-04	2.720930909e-04	1.549583802e-03	324
25	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[2\].i_tcdm_master_req_register	500.891000	687.065500	554.150000	770.295000	2.720930909e-04	2.720930909e-04	1.082921329e-03	324
33	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_master_req_register	345.881000	359.771500	461.093000	386.230000	2.535403455e-04	2.535403455e-04	7.850023210e-04	304
31	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_slave_req_register	654.603500	309.674000	716.735500	330.177500	1.334700545e-04	1.334700545e-04	2.669401091e-04	206
23	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[3\].i_tcdm_master_req_register	882.449000	896.781000	981.109500	970.335000	2.720930909e-04	2.720930909e-04	1.560657218e-03	324
21	gen_tiles\[0\].i_tile/i_tile/i_local_req_interco	554.150000	373.531500	843.220500	517.214500	1.118583206e-02	1.118583206e-02	7.470930984e-02	10640
22	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[3\].i_tcdm_slave_resp_register	884.960500	333.210000	981.110000	459.696000	5.470420000e-04	5.470420000e-04	4.805623220e-03	233
20	gen_tiles\[0\].i_tile/i_tile/i_local_resp_interco	461.093000	212.930000	654.603500	373.374000	9.004366573e-03	9.004366573e-03	6.151367361e-02	10492
18	gen_tiles\[0\].i_tile/i_tile/i_remote_resp_interco	0.000000	378.985000	49.264000	907.800000	2.250911073e-03	2.250911073e-03	3.760480521e-02	960
74	i_axi_interco||i_east_interco||i_north_interco||i_northeast_interco	1031.358000	337.600000	1079.770000	896.781000	5.871931636e-04	5.871931636e-04	1.248207460e-02	1375
73	i_local_interco	426.059000	359.771500	426.059500	359.772000	3.223490909e-05	3.223490909e-05	3.246753247e-13	97
