x_idx	y_idx	drop_pct	voltage_v
9	16	0.091360370	0.999086396
10	16	0.047430606	0.999525694
11	16	0.081690517	0.999183095
12	16	0.109146583	0.998908534
13	16	0.130658634	0.998693414
14	16	0.146625583	0.998533744
15	16	0.157344561	0.998426554
16	16	0.163157081	0.998368429
17	16	0.163559049	0.998364410
18	16	0.163362665	0.998366373
19	16	0.162762586	0.998372374
20	16	0.161701201	0.998382988
0	15	0.240878806	0.997591212
1	15	0.242416688	0.997575833
2	15	0.240201353	0.997597986
3	15	0.234546158	0.997654538
4	15	0.225098526	0.997749015
5	15	0.211455445	0.997885446
6	15	0.193173260	0.998068267
7	15	0.166220826	0.998337792
8	15	0.134234228	0.998657658
9	15	0.096690608	0.999033094
10	15	0.048775354	0.999512246
11	15	0.084496349	0.999155037
12	15	0.113820180	0.998861798
13	15	0.136964932	0.998630351
14	15	0.154242007	0.998457580
15	15	0.165985518	0.998340145
16	15	0.172598746	0.998274013
17	15	0.173712316	0.998262877
18	15	0.174069620	0.998259304
19	15	0.173764074	0.998262359
20	15	0.172787927	0.998272121
0	14	0.269489204	0.997305108
1	14	0.270328231	0.997296718
2	14	0.266675133	0.997333249
3	14	0.258927350	0.997410726
4	14	0.246855167	0.997531448
5	14	0.230172392	0.997698276
6	14	0.208550065	0.997914499
7	14	0.178096035	0.998219040
8	14	0.142632110	0.998573679
9	14	0.101883210	0.998981168
10	14	0.052032367	0.999479676
11	14	0.090008647	0.999099914
12	14	0.120463932	0.998795361
13	14	0.144186688	0.998558133
14	14	0.161643194	0.998383568
15	14	0.173045904	0.998269541
16	14	0.178277814	0.998217222
17	14	0.179555944	0.998204441
18	14	0.180150755	0.998198492
19	14	0.179738154	0.998202618
20	14	0.178813448	0.998211866
0	13	0.288336001	0.997116640
1	13	0.288713054	0.997112869
2	13	0.284149916	0.997158501
3	13	0.275086673	0.997249133
4	13	0.261357897	0.997386421
5	13	0.242750324	0.997572497
6	13	0.219004152	0.997809958
7	13	0.186262436	0.998137376
8	13	0.148251189	0.998517488
9	13	0.104188192	0.998958118
10	13	0.052657858	0.999473421
11	13	0.088757061	0.999112429
12	13	0.117677105	0.998823229
13	13	0.140402418	0.998595976
14	13	0.157317700	0.998426823
15	13	0.168588176	0.998314118
16	13	0.174210885	0.998257891
17	13	0.177723814	0.998222762
18	13	0.179652207	0.998203478
19	13	0.180236733	0.998197633
