ix	iy	x_um	y_um	i_soft_A	i_hard_A	i_total_A	v_V	ir_drop_V
5	7	280	389.3	0.0004765588107	0	0.0004765588107	1.094232554	0.005767445712
6	7	334	389.3	0.0004765588107	0	0.0004765588107	1.095698077	0.004301922685
7	7	388	389.3	0.0002693901075	0	0.0002693901075	1.097537494	0.002462505669
8	7	442	389.3	0.0002619497981	0	0.0002619497981	1.09975136	0.0002486402839
9	7	496	389.3	0.0002693901075	0	0.0002693901075	1.097567486	0.002432514306
10	7	550	389.3	0.001085357487	0	0.001085357487	1.095813734	0.00418626606
11	7	604	389.3	0.000753162447	0	0.000753162447	1.094769661	0.005230339489
12	7	658	389.3	0.000753162447	0	0.000753162447	1.09417554	0.005824459783
13	7	712	389.3	0.000753162447	0	0.000753162447	1.093971345	0.006028654951
14	7	766	389.3	0.000753162447	0	0.000753162447	1.094117796	0.005882204207
15	7	820	389.3	0.000753162447	0	0.000753162447	1.094631864	0.005368135892
16	7	874	389.3	0.0007534991397	0	0.0007534991397	1.095528531	0.004471468826
17	7	928	389.3	0.0001897876427	0	0.0001897876427	1.096813573	0.003186426548
18	7	982	389.3	7.440309376e-06	0	7.440309376e-06	1.098251636	0.001748363872
19	7	1036	389.3	5.871931636e-05	0	5.871931636e-05	1.099803338	0.0001966624809
20	7	1090	389.3	7.440309376e-06	0	7.440309376e-06	1.099627313	0.000372687043
0	8	10	443.2	0.0002325314166	0	0.0002325314166	1.090994137	0.009005862778
1	8	64	443.2	0.0004765588107	0	0.0004765588107	1.091125799	0.008874200584
2	8	118	443.2	0.0004765588107	0	0.0004765588107	1.091515703	0.008484297465
3	8	172	443.2	0.0004765588107	0	0.0004765588107	1.092153971	0.007846028543
4	8	226	443.2	0.0004765588107	0	0.0004765588107	1.093036696	0.006963303867
5	8	280	443.2	0.0004765588107	0	0.0004765588107	1.094169598	0.005830402032
6	8	334	443.2	0.0004765588107	0	0.0004765588107	1.095581415	0.004418584737
7	8	388	443.2	0.0002693901075	0	0.0002693901075	1.097366635	0.002633364935
8	8	442	443.2	0.0002619497981	0	0.0002619497981	1.09972168	0.0002783203426
9	8	496	443.2	0.0002693901075	0	0.0002693901075	1.097524098	0.002475901897
10	8	550	443.2	0.001085357487	0	0.001085357487	1.095900082	0.004099918342
11	8	604	443.2	0.000753162447	0	0.000753162447	1.094966836	0.005033164035
12	8	658	443.2	0.000753162447	0	0.000753162447	1.094430957	0.005569042658
13	8	712	443.2	0.000753162447	0	0.000753162447	1.094250137	0.005749863241
14	8	766	443.2	0.000753162447	0	0.000753162447	1.09440948	0.005590519914
15	8	820	443.2	0.000753162447	0	0.000753162447	1.094913198	0.005086802427
16	8	874	443.2	0.0007534991397	0	0.0007534991397	1.095767164	0.00423283612
17	8	928	443.2	0.0001897876427	0	0.0001897876427	1.096958254	0.003041745546
18	8	982	443.2	7.440309376e-06	0	7.440309376e-06	1.098282235	0.001717765202
19	8	1036	443.2	5.871931636e-05	0	5.871931636e-05	1.09979269	0.0002073097903
20	8	1090	443.2	7.440309376e-06	0	7.440309376e-06	1.099562816	0.0004371841065
0	9	10	497.1	0.0002325314166	0	0.0002325314166	1.091090927	0.008909072669
1	9	64	497.1	0.0004765588107	0	0.0004765588107	1.091210751	0.008789248741
2	9	118	497.1	0.0004765588107	0	0.0004765588107	1.091578349	0.00842165107
3	9	172	497.1	0.0004765588107	0	0.0004765588107	1.092186511	0.007813488538
4	9	226	497.1	0.0004765588107	0	0.0004765588107	1.093024508	0.006975492372
5	9	280	497.1	0.0004765588107	0	0.0004765588107	1.094072391	0.005927609069
6	9	334	497.1	0.0004765588107	0	0.0004765588107	1.09528359	0.004716410409
7	9	388	497.1	0.0002693901075	0	0.0002693901075	1.09653557	0.00346442956
8	9	442	497.1	0.0002693901075	0	0.0002693901075	1.097375718	0.002624282359
9	9	496	497.1	0.0002693901075	0	0.0002693901075	1.09681469	0.003185310473
10	9	550	497.1	0.001148323378	0	0.001148323378	1.095822062	0.004177938428
11	9	604	497.1	0.000753162447	0	0.000753162447	1.095177417	0.004822582512
12	9	658	497.1	0.000753162447	0	0.000753162447	1.094765565	0.005234435392
