u	v	kind	res_ohm
471	472	x	1.712489669e-03
471	499	y	8.437333742e-03
472	473	x	1.712489669e-03
472	500	y	8.437333742e-03
473	474	x	1.712489669e-03
473	501	y	8.437333742e-03
474	475	x	1.712489669e-03
474	502	y	8.437333742e-03
475	503	y	8.437333742e-03
476	477	x	1.712489669e-03
476	504	y	8.437333742e-03
477	478	x	1.712489669e-03
477	505	y	8.437333742e-03
478	479	x	1.712489669e-03
478	506	y	8.437333742e-03
479	480	x	1.712489669e-03
479	507	y	8.437333742e-03
480	481	x	1.712489669e-03
480	508	y	8.437333742e-03
481	482	x	1.712489669e-03
481	509	y	8.437333742e-03
482	483	x	1.712489669e-03
482	510	y	8.437333742e-03
483	484	x	1.712489669e-03
483	511	y	8.437333742e-03
484	485	x	1.712489669e-03
484	512	y	8.437333742e-03
485	486	x	1.712489669e-03
485	513	y	8.437333742e-03
486	487	x	1.712489669e-03
486	514	y	8.437333742e-03
487	488	x	1.712489669e-03
487	515	y	8.437333742e-03
488	489	x	1.712489669e-03
488	516	y	8.437333742e-03
489	490	x	1.712489669e-03
489	517	y	8.437333742e-03
490	491	x	1.712489669e-03
490	518	y	8.437333742e-03
491	492	x	1.712489669e-03
491	519	y	8.437333742e-03
492	493	x	1.712489669e-03
492	520	y	8.437333742e-03
493	494	x	1.712489669e-03
493	521	y	8.437333742e-03
494	495	x	1.712489669e-03
494	522	y	8.437333742e-03
495	496	x	1.712489669e-03
495	523	y	8.437333742e-03
496	497	x	1.712489669e-03
496	524	y	8.437333742e-03
497	498	x	1.712489669e-03
497	525	y	8.437333742e-03
498	499	x	1.712489669e-03
498	526	y	8.437333742e-03
499	500	x	1.712489669e-03
499	527	y	8.437333742e-03
500	501	x	1.712489669e-03
500	528	y	8.437333742e-03
501	502	x	1.712489669e-03
501	529	y	8.437333742e-03
502	503	x	1.712489669e-03
502	530	y	8.437333742e-03
503	531	y	8.437333742e-03
504	505	x	1.712489669e-03
504	532	y	8.437333742e-03
505	506	x	1.712489669e-03
505	533	y	8.437333742e-03
506	507	x	1.712489669e-03
506	534	y	8.437333742e-03
507	508	x	1.712489669e-03
507	535	y	8.437333742e-03
508	509	x	1.712489669e-03
508	536	y	8.437333742e-03
509	510	x	1.712489669e-03
509	537	y	8.437333742e-03
510	511	x	1.712489669e-03
510	538	y	8.437333742e-03
511	512	x	1.712489669e-03
511	539	y	8.437333742e-03
512	513	x	1.712489669e-03
512	540	y	8.437333742e-03
513	514	x	1.712489669e-03
513	541	y	8.437333742e-03
514	515	x	1.712489669e-03
514	542	y	8.437333742e-03
515	516	x	1.712489669e-03
515	543	y	8.437333742e-03
516	517	x	1.712489669e-03
516	544	y	8.437333742e-03
517	518	x	1.712489669e-03
517	545	y	8.437333742e-03
518	519	x	1.712489669e-03
518	546	y	8.437333742e-03
519	520	x	1.712489669e-03
519	547	y	8.437333742e-03
520	521	x	1.712489669e-03
520	548	y	8.437333742e-03
521	522	x	1.712489669e-03
521	549	y	8.437333742e-03
522	523	x	1.712489669e-03
522	550	y	8.437333742e-03
523	524	x	1.712489669e-03
523	551	y	8.437333742e-03
524	525	x	1.712489669e-03
524	552	y	8.437333742e-03
525	526	x	1.712489669e-03
525	553	y	8.437333742e-03
526	527	x	1.712489669e-03
526	554	y	8.437333742e-03
527	528	x	1.712489669e-03
527	555	y	8.437333742e-03
528	529	x	1.712489669e-03
528	556	y	8.437333742e-03
529	530	x	1.712489669e-03
529	557	y	8.437333742e-03
530	531	x	1.712489669e-03
530	558	y	8.437333742e-03
531	559	y	8.437333742e-03
532	533	x	1.712489669e-03
532	560	y	8.437333742e-03
533	534	x	1.712489669e-03
533	561	y	8.437333742e-03
534	535	x	1.712489669e-03
534	562	y	8.437333742e-03
535	536	x	1.712489669e-03
535	563	y	8.437333742e-03
536	537	x	1.712489669e-03
536	564	y	8.437333742e-03
537	538	x	1.712489669e-03
537	565	y	8.437333742e-03
538	539	x	1.712489669e-03
538	566	y	8.437333742e-03
539	540	x	1.712489669e-03
539	567	y	8.437333742e-03
540	541	x	1.712489669e-03
540	568	y	8.437333742e-03
541	542	x	1.712489669e-03
541	569	y	8.437333742e-03
542	543	x	1.712489669e-03
542	570	y	8.437333742e-03
543	544	x	1.712489669e-03
543	571	y	8.437333742e-03
544	545	x	1.712489669e-03
544	572	y	8.437333742e-03
545	546	x	1.712489669e-03
545	573	y	8.437333742e-03
546	547	x	1.712489669e-03
546	574	y	8.437333742e-03
547	548	x	1.712489669e-03
547	575	y	8.437333742e-03
548	549	x	1.712489669e-03
548	576	y	8.437333742e-03
549	550	x	1.712489669e-03
549	577	y	8.437333742e-03
550	551	x	1.712489669e-03
550	578	y	8.437333742e-03
551	552	x	1.712489669e-03
551	579	y	8.437333742e-03
552	553	x	1.712489669e-03
552	580	y	8.437333742e-03
553	554	x	1.712489669e-03
553	581	y	8.437333742e-03
554	555	x	1.712489669e-03
554	582	y	8.437333742e-03
555	556	x	1.712489669e-03
555	583	y	8.437333742e-03
556	557	x	1.712489669e-03
556	584	y	8.437333742e-03
557	558	x	1.712489669e-03
557	585	y	8.437333742e-03
558	559	x	1.712489669e-03
558	586	y	8.437333742e-03
559	587	y	8.437333742e-03
560	561	x	1.712489669e-03
560	588	y	8.437333742e-03
561	562	x	1.712489669e-03
561	589	y	8.437333742e-03
562	563	x	1.712489669e-03
562	590	y	8.437333742e-03
563	564	x	1.712489669e-03
563	591	y	8.437333742e-03
564	565	x	1.712489669e-03
564	592	y	8.437333742e-03
565	566	x	1.712489669e-03
565	593	y	8.437333742e-03
566	567	x	1.712489669e-03
566	594	y	8.437333742e-03
567	568	x	1.712489669e-03
567	595	y	8.437333742e-03
568	569	x	1.712489669e-03
568	596	y	8.437333742e-03
569	570	x	1.712489669e-03
569	597	y	8.437333742e-03
570	571	x	1.712489669e-03
570	598	y	8.437333742e-03
571	572	x	1.712489669e-03
571	599	y	8.437333742e-03
572	573	x	1.712489669e-03
572	600	y	8.437333742e-03
573	574	x	1.712489669e-03
573	601	y	8.437333742e-03
574	575	x	1.712489669e-03
574	602	y	8.437333742e-03
575	576	x	1.712489669e-03
575	603	y	8.437333742e-03
576	577	x	1.712489669e-03
576	604	y	8.437333742e-03
577	578	x	1.712489669e-03
577	605	y	8.437333742e-03
578	579	x	1.712489669e-03
578	606	y	8.437333742e-03
579	580	x	1.712489669e-03
579	607	y	8.437333742e-03
580	581	x	1.712489669e-03
580	608	y	8.437333742e-03
581	582	x	1.712489669e-03
581	609	y	8.437333742e-03
582	583	x	1.712489669e-03
582	610	y	8.437333742e-03
583	584	x	1.712489669e-03
583	611	y	8.437333742e-03
584	585	x	1.712489669e-03
584	612	y	8.437333742e-03
585	586	x	1.712489669e-03
585	613	y	8.437333742e-03
586	587	x	1.712489669e-03
586	614	y	8.437333742e-03
587	615	y	8.437333742e-03
588	589	x	1.712489669e-03
588	616	y	8.437333742e-03
589	590	x	1.712489669e-03
589	617	y	8.437333742e-03
590	591	x	1.712489669e-03
590	618	y	8.437333742e-03
591	592	x	1.712489669e-03
591	619	y	8.437333742e-03
592	593	x	1.712489669e-03
592	620	y	8.437333742e-03
593	594	x	1.712489669e-03
593	621	y	8.437333742e-03
594	595	x	1.712489669e-03
594	622	y	8.437333742e-03
595	596	x	1.712489669e-03
595	623	y	8.437333742e-03
596	597	x	1.712489669e-03
596	624	y	8.437333742e-03
597	598	x	1.712489669e-03
597	625	y	8.437333742e-03
598	599	x	1.712489669e-03
598	626	y	8.437333742e-03
599	600	x	1.712489669e-03
599	627	y	8.437333742e-03
600	601	x	1.712489669e-03
600	628	y	8.437333742e-03
601	602	x	1.712489669e-03
601	629	y	8.437333742e-03
602	603	x	1.712489669e-03
602	630	y	8.437333742e-03
603	604	x	1.712489669e-03
603	631	y	8.437333742e-03
604	605	x	1.712489669e-03
604	632	y	8.437333742e-03
605	606	x	1.712489669e-03
605	633	y	8.437333742e-03
606	607	x	1.712489669e-03
606	634	y	8.437333742e-03
607	608	x	1.712489669e-03
607	635	y	8.437333742e-03
608	609	x	1.712489669e-03
608	636	y	8.437333742e-03
609	610	x	1.712489669e-03
609	637	y	8.437333742e-03
610	611	x	1.712489669e-03
610	638	y	8.437333742e-03
611	612	x	1.712489669e-03
611	639	y	8.437333742e-03
612	613	x	1.712489669e-03
612	640	y	8.437333742e-03
613	614	x	1.712489669e-03
613	641	y	8.437333742e-03
614	615	x	1.712489669e-03
614	642	y	8.437333742e-03
615	643	y	8.437333742e-03
616	617	x	1.712489669e-03
616	644	y	8.437333742e-03
617	618	x	1.712489669e-03
617	645	y	8.437333742e-03
618	619	x	1.712489669e-03
618	646	y	8.437333742e-03
619	620	x	1.712489669e-03
619	647	y	8.437333742e-03
620	621	x	1.712489669e-03
620	648	y	8.437333742e-03
621	622	x	1.712489669e-03
621	649	y	8.437333742e-03
622	623	x	1.712489669e-03
622	650	y	8.437333742e-03
623	624	x	1.712489669e-03
623	651	y	8.437333742e-03
624	625	x	1.712489669e-03
624	652	y	8.437333742e-03
625	626	x	1.712489669e-03
625	653	y	8.437333742e-03
626	627	x	1.712489669e-03
626	654	y	8.437333742e-03
627	628	x	1.712489669e-03
627	655	y	8.437333742e-03
628	629	x	1.712489669e-03
628	656	y	8.437333742e-03
629	630	x	1.712489669e-03
629	657	y	8.437333742e-03
630	631	x	1.712489669e-03
630	658	y	8.437333742e-03
631	632	x	1.712489669e-03
631	659	y	8.437333742e-03
632	633	x	1.712489669e-03
632	660	y	8.437333742e-03
633	634	x	1.712489669e-03
633	661	y	8.437333742e-03
634	635	x	1.712489669e-03
634	662	y	8.437333742e-03
635	636	x	1.712489669e-03
635	663	y	8.437333742e-03
636	637	x	1.712489669e-03
636	664	y	8.437333742e-03
637	638	x	1.712489669e-03
637	665	y	8.437333742e-03
638	639	x	1.712489669e-03
638	666	y	8.437333742e-03
639	640	x	1.712489669e-03
639	667	y	8.437333742e-03
640	641	x	1.712489669e-03
640	668	y	8.437333742e-03
641	642	x	1.712489669e-03
641	669	y	8.437333742e-03
642	643	x	1.712489669e-03
642	670	y	8.437333742e-03
643	671	y	8.437333742e-03
644	645	x	1.712489669e-03
644	672	y	8.437333742e-03
645	646	x	1.712489669e-03
645	673	y	8.437333742e-03
646	647	x	1.712489669e-03
646	674	y	8.437333742e-03
647	648	x	1.712489669e-03
647	675	y	8.437333742e-03
648	649	x	1.712489669e-03
648	676	y	8.437333742e-03
649	650	x	1.712489669e-03
649	677	y	8.437333742e-03
650	651	x	1.712489669e-03
650	678	y	8.437333742e-03
651	652	x	1.712489669e-03
651	679	y	8.437333742e-03
652	653	x	1.712489669e-03
652	680	y	8.437333742e-03
653	654	x	1.712489669e-03
653	681	y	8.437333742e-03
654	655	x	1.712489669e-03
654	682	y	8.437333742e-03
655	656	x	1.712489669e-03
655	683	y	8.437333742e-03
656	657	x	1.712489669e-03
656	684	y	8.437333742e-03
657	658	x	1.712489669e-03
657	685	y	8.437333742e-03
658	659	x	1.712489669e-03
658	686	y	8.437333742e-03
659	660	x	1.712489669e-03
659	687	y	8.437333742e-03
660	661	x	1.712489669e-03
660	688	y	8.437333742e-03
661	662	x	1.712489669e-03
661	689	y	8.437333742e-03
662	663	x	1.712489669e-03
662	690	y	8.437333742e-03
663	664	x	1.712489669e-03
663	691	y	8.437333742e-03
664	665	x	1.712489669e-03
664	692	y	8.437333742e-03
665	666	x	1.712489669e-03
665	693	y	8.437333742e-03
666	667	x	1.712489669e-03
666	694	y	8.437333742e-03
667	668	x	1.712489669e-03
667	695	y	8.437333742e-03
668	669	x	1.712489669e-03
668	696	y	8.437333742e-03
669	670	x	1.712489669e-03
669	697	y	8.437333742e-03
670	671	x	1.712489669e-03
670	698	y	8.437333742e-03
671	699	y	8.437333742e-03
672	673	x	1.712489669e-03
672	700	y	8.437333742e-03
673	674	x	1.712489669e-03
673	701	y	8.437333742e-03
674	675	x	1.712489669e-03
674	702	y	8.437333742e-03
675	676	x	1.712489669e-03
675	703	y	8.437333742e-03
676	677	x	1.712489669e-03
676	704	y	8.437333742e-03
677	678	x	1.712489669e-03
677	705	y	8.437333742e-03
678	679	x	1.712489669e-03
678	706	y	8.437333742e-03
679	680	x	1.712489669e-03
679	707	y	8.437333742e-03
680	681	x	1.712489669e-03
680	708	y	8.437333742e-03
681	682	x	1.712489669e-03
681	709	y	8.437333742e-03
682	683	x	1.712489669e-03
682	710	y	8.437333742e-03
683	684	x	1.712489669e-03
683	711	y	8.437333742e-03
684	685	x	1.712489669e-03
684	712	y	8.437333742e-03
685	686	x	1.712489669e-03
685	713	y	8.437333742e-03
686	687	x	1.712489669e-03
686	714	y	8.437333742e-03
687	688	x	1.712489669e-03
687	715	y	8.437333742e-03
688	689	x	1.712489669e-03
688	716	y	8.437333742e-03
689	690	x	1.712489669e-03
689	717	y	8.437333742e-03
690	691	x	1.712489669e-03
690	718	y	8.437333742e-03
691	692	x	1.712489669e-03
691	719	y	8.437333742e-03
692	693	x	1.712489669e-03
692	720	y	8.437333742e-03
693	694	x	1.712489669e-03
693	721	y	8.437333742e-03
694	695	x	1.712489669e-03
694	722	y	8.437333742e-03
695	696	x	1.712489669e-03
695	723	y	8.437333742e-03
696	697	x	1.712489669e-03
696	724	y	8.437333742e-03
697	698	x	1.712489669e-03
697	725	y	8.437333742e-03
698	699	x	1.712489669e-03
698	726	y	8.437333742e-03
699	727	y	8.437333742e-03
700	701	x	1.712489669e-03
700	728	y	8.437333742e-03
701	702	x	1.712489669e-03
701	729	y	8.437333742e-03
702	703	x	1.712489669e-03
702	730	y	8.437333742e-03
703	704	x	1.712489669e-03
703	731	y	8.437333742e-03
704	705	x	1.712489669e-03
704	732	y	8.437333742e-03
705	706	x	1.712489669e-03
705	733	y	8.437333742e-03
706	707	x	1.712489669e-03
706	734	y	8.437333742e-03
707	708	x	1.712489669e-03
707	735	y	8.437333742e-03
708	709	x	1.712489669e-03
708	736	y	8.437333742e-03
709	710	x	1.712489669e-03
709	737	y	8.437333742e-03
710	711	x	1.712489669e-03
710	738	y	8.437333742e-03
711	712	x	1.712489669e-03
711	739	y	8.437333742e-03
712	713	x	1.712489669e-03
712	740	y	8.437333742e-03
713	714	x	1.712489669e-03
713	741	y	8.437333742e-03
714	715	x	1.712489669e-03
714	742	y	8.437333742e-03
715	716	x	1.712489669e-03
715	743	y	8.437333742e-03
716	717	x	1.712489669e-03
716	744	y	8.437333742e-03
717	718	x	1.712489669e-03
717	745	y	8.437333742e-03
718	719	x	1.712489669e-03
718	746	y	8.437333742e-03
719	720	x	1.712489669e-03
719	747	y	8.437333742e-03
720	721	x	1.712489669e-03
720	748	y	8.437333742e-03
721	722	x	1.712489669e-03
721	749	y	8.437333742e-03
722	723	x	1.712489669e-03
722	750	y	8.437333742e-03
723	724	x	1.712489669e-03
723	751	y	8.437333742e-03
724	725	x	1.712489669e-03
724	752	y	8.437333742e-03
725	726	x	1.712489669e-03
725	753	y	8.437333742e-03
726	727	x	1.712489669e-03
726	754	y	8.437333742e-03
727	755	y	8.437333742e-03
728	729	x	1.712489669e-03
728	756	y	8.437333742e-03
729	730	x	1.712489669e-03
729	757	y	8.437333742e-03
730	731	x	1.712489669e-03
730	758	y	8.437333742e-03
731	732	x	1.712489669e-03
731	759	y	8.437333742e-03
732	733	x	1.712489669e-03
732	760	y	8.437333742e-03
733	734	x	1.712489669e-03
733	761	y	8.437333742e-03
734	735	x	1.712489669e-03
734	762	y	8.437333742e-03
735	736	x	1.712489669e-03
735	763	y	8.437333742e-03
736	737	x	1.712489669e-03
736	764	y	8.437333742e-03
737	738	x	1.712489669e-03
737	765	y	8.437333742e-03
738	739	x	1.712489669e-03
738	766	y	8.437333742e-03
739	740	x	1.712489669e-03
739	767	y	8.437333742e-03
740	741	x	1.712489669e-03
740	768	y	8.437333742e-03
741	742	x	1.712489669e-03
741	769	y	8.437333742e-03
742	743	x	1.712489669e-03
742	770	y	8.437333742e-03
743	744	x	1.712489669e-03
743	771	y	8.437333742e-03
744	745	x	1.712489669e-03
744	772	y	8.437333742e-03
745	746	x	1.712489669e-03
745	773	y	8.437333742e-03
746	747	x	1.712489669e-03
746	774	y	8.437333742e-03
747	748	x	1.712489669e-03
747	775	y	8.437333742e-03
748	749	x	1.712489669e-03
748	776	y	8.437333742e-03
749	750	x	1.712489669e-03
749	777	y	8.437333742e-03
750	751	x	1.712489669e-03
750	778	y	8.437333742e-03
751	752	x	1.712489669e-03
751	779	y	8.437333742e-03
752	753	x	1.712489669e-03
752	780	y	8.437333742e-03
753	754	x	1.712489669e-03
753	781	y	8.437333742e-03
754	755	x	1.712489669e-03
754	782	y	8.437333742e-03
755	783	y	8.437333742e-03
756	757	x	1.712489669e-03
757	758	x	1.712489669e-03
758	759	x	1.712489669e-03
759	760	x	1.712489669e-03
760	761	x	1.712489669e-03
761	762	x	1.712489669e-03
762	763	x	1.712489669e-03
763	764	x	1.712489669e-03
764	765	x	1.712489669e-03
765	766	x	1.712489669e-03
766	767	x	1.712489669e-03
767	768	x	1.712489669e-03
768	769	x	1.712489669e-03
769	770	x	1.712489669e-03
770	771	x	1.712489669e-03
771	772	x	1.712489669e-03
772	773	x	1.712489669e-03
773	774	x	1.712489669e-03
774	775	x	1.712489669e-03
775	776	x	1.712489669e-03
776	777	x	1.712489669e-03
777	778	x	1.712489669e-03
778	779	x	1.712489669e-03
779	780	x	1.712489669e-03
780	781	x	1.712489669e-03
781	782	x	1.712489669e-03
782	783	x	1.712489669e-03
