u	v	kind	res_ohm
58	59	x	1.712489669e-03
58	86	y	8.437333742e-03
59	60	x	1.712489669e-03
59	87	y	8.437333742e-03
60	61	x	1.712489669e-03
60	88	y	8.437333742e-03
61	62	x	1.712489669e-03
61	89	y	8.437333742e-03
62	63	x	1.712489669e-03
62	90	y	8.437333742e-03
63	64	x	1.712489669e-03
63	91	y	8.437333742e-03
64	65	x	1.712489669e-03
64	92	y	8.437333742e-03
65	66	x	1.712489669e-03
65	93	y	8.437333742e-03
66	67	x	1.712489669e-03
66	94	y	8.437333742e-03
67	68	x	1.712489669e-03
67	95	y	8.437333742e-03
68	69	x	1.712489669e-03
68	96	y	8.437333742e-03
69	70	x	1.712489669e-03
69	97	y	8.437333742e-03
70	71	x	1.712489669e-03
70	98	y	8.437333742e-03
71	72	x	1.712489669e-03
71	99	y	8.437333742e-03
72	73	x	1.712489669e-03
72	100	y	8.437333742e-03
73	74	x	1.712489669e-03
73	101	y	8.437333742e-03
74	75	x	1.712489669e-03
74	102	y	8.437333742e-03
75	76	x	1.712489669e-03
75	103	y	8.437333742e-03
76	77	x	1.712489669e-03
76	104	y	8.437333742e-03
77	78	x	1.712489669e-03
77	105	y	8.437333742e-03
78	79	x	1.712489669e-03
78	106	y	8.437333742e-03
79	80	x	1.712489669e-03
79	107	y	8.437333742e-03
80	81	x	1.712489669e-03
80	108	y	8.437333742e-03
81	82	x	1.712489669e-03
81	109	y	8.437333742e-03
82	83	x	1.712489669e-03
82	110	y	8.437333742e-03
83	111	y	8.437333742e-03
84	85	x	1.712489669e-03
84	112	y	8.437333742e-03
85	86	x	1.712489669e-03
85	113	y	8.437333742e-03
86	87	x	1.712489669e-03
86	114	y	8.437333742e-03
87	88	x	1.712489669e-03
87	115	y	8.437333742e-03
88	89	x	1.712489669e-03
88	116	y	8.437333742e-03
89	90	x	1.712489669e-03
89	117	y	8.437333742e-03
90	91	x	1.712489669e-03
90	118	y	8.437333742e-03
91	92	x	1.712489669e-03
91	119	y	8.437333742e-03
92	93	x	1.712489669e-03
92	120	y	8.437333742e-03
93	94	x	1.712489669e-03
93	121	y	8.437333742e-03
94	95	x	1.712489669e-03
94	122	y	8.437333742e-03
95	96	x	1.712489669e-03
95	123	y	8.437333742e-03
96	97	x	1.712489669e-03
96	124	y	8.437333742e-03
97	98	x	1.712489669e-03
97	125	y	8.437333742e-03
98	99	x	1.712489669e-03
98	126	y	8.437333742e-03
99	100	x	1.712489669e-03
99	127	y	8.437333742e-03
100	101	x	1.712489669e-03
100	128	y	8.437333742e-03
101	102	x	1.712489669e-03
101	129	y	8.437333742e-03
102	103	x	1.712489669e-03
102	130	y	8.437333742e-03
103	104	x	1.712489669e-03
103	131	y	8.437333742e-03
104	105	x	1.712489669e-03
104	132	y	8.437333742e-03
105	106	x	1.712489669e-03
105	133	y	8.437333742e-03
106	107	x	1.712489669e-03
106	134	y	8.437333742e-03
107	108	x	1.712489669e-03
107	135	y	8.437333742e-03
108	109	x	1.712489669e-03
108	136	y	8.437333742e-03
109	110	x	1.712489669e-03
109	137	y	8.437333742e-03
110	111	x	1.712489669e-03
110	138	y	8.437333742e-03
111	139	y	8.437333742e-03
112	113	x	1.712489669e-03
112	140	y	8.437333742e-03
113	114	x	1.712489669e-03
113	141	y	8.437333742e-03
114	115	x	1.712489669e-03
114	142	y	8.437333742e-03
115	116	x	1.712489669e-03
115	143	y	8.437333742e-03
116	117	x	1.712489669e-03
116	144	y	8.437333742e-03
117	118	x	1.712489669e-03
117	145	y	8.437333742e-03
118	119	x	1.712489669e-03
118	146	y	8.437333742e-03
119	120	x	1.712489669e-03
119	147	y	8.437333742e-03
120	121	x	1.712489669e-03
120	148	y	8.437333742e-03
121	122	x	1.712489669e-03
121	149	y	8.437333742e-03
122	123	x	1.712489669e-03
122	150	y	8.437333742e-03
123	124	x	1.712489669e-03
123	151	y	8.437333742e-03
124	125	x	1.712489669e-03
124	152	y	8.437333742e-03
125	126	x	1.712489669e-03
125	153	y	8.437333742e-03
126	127	x	1.712489669e-03
126	154	y	8.437333742e-03
127	128	x	1.712489669e-03
127	155	y	8.437333742e-03
128	129	x	1.712489669e-03
128	156	y	8.437333742e-03
129	130	x	1.712489669e-03
129	157	y	8.437333742e-03
130	131	x	1.712489669e-03
130	158	y	8.437333742e-03
131	132	x	1.712489669e-03
131	159	y	8.437333742e-03
132	133	x	1.712489669e-03
132	160	y	8.437333742e-03
133	134	x	1.712489669e-03
133	161	y	8.437333742e-03
134	135	x	1.712489669e-03
134	162	y	8.437333742e-03
135	136	x	1.712489669e-03
135	163	y	8.437333742e-03
136	137	x	1.712489669e-03
136	164	y	8.437333742e-03
137	138	x	1.712489669e-03
137	165	y	8.437333742e-03
138	139	x	1.712489669e-03
138	166	y	8.437333742e-03
139	167	y	8.437333742e-03
140	141	x	1.712489669e-03
140	168	y	8.437333742e-03
141	142	x	1.712489669e-03
141	169	y	8.437333742e-03
142	143	x	1.712489669e-03
142	170	y	8.437333742e-03
143	144	x	1.712489669e-03
143	171	y	8.437333742e-03
144	145	x	1.712489669e-03
144	172	y	8.437333742e-03
145	146	x	1.712489669e-03
145	173	y	8.437333742e-03
146	147	x	1.712489669e-03
146	174	y	8.437333742e-03
147	148	x	1.712489669e-03
147	175	y	8.437333742e-03
148	149	x	1.712489669e-03
148	176	y	8.437333742e-03
149	150	x	1.712489669e-03
149	177	y	8.437333742e-03
150	151	x	1.712489669e-03
150	178	y	8.437333742e-03
151	152	x	1.712489669e-03
151	179	y	8.437333742e-03
152	153	x	1.712489669e-03
152	180	y	8.437333742e-03
153	154	x	1.712489669e-03
153	181	y	8.437333742e-03
154	155	x	1.712489669e-03
154	182	y	8.437333742e-03
155	156	x	1.712489669e-03
155	183	y	8.437333742e-03
156	157	x	1.712489669e-03
156	184	y	8.437333742e-03
157	158	x	1.712489669e-03
157	185	y	8.437333742e-03
158	159	x	1.712489669e-03
158	186	y	8.437333742e-03
159	160	x	1.712489669e-03
159	187	y	8.437333742e-03
160	161	x	1.712489669e-03
160	188	y	8.437333742e-03
161	162	x	1.712489669e-03
161	189	y	8.437333742e-03
162	163	x	1.712489669e-03
162	190	y	8.437333742e-03
163	164	x	1.712489669e-03
163	191	y	8.437333742e-03
164	165	x	1.712489669e-03
164	192	y	8.437333742e-03
165	166	x	1.712489669e-03
165	193	y	8.437333742e-03
166	167	x	1.712489669e-03
166	194	y	8.437333742e-03
167	195	y	8.437333742e-03
168	169	x	1.712489669e-03
168	196	y	8.437333742e-03
169	170	x	1.712489669e-03
169	197	y	8.437333742e-03
170	171	x	1.712489669e-03
170	198	y	8.437333742e-03
171	172	x	1.712489669e-03
171	199	y	8.437333742e-03
172	173	x	1.712489669e-03
172	200	y	8.437333742e-03
173	174	x	1.712489669e-03
173	201	y	8.437333742e-03
174	175	x	1.712489669e-03
174	202	y	8.437333742e-03
175	176	x	1.712489669e-03
175	203	y	8.437333742e-03
176	177	x	1.712489669e-03
176	204	y	8.437333742e-03
177	178	x	1.712489669e-03
177	205	y	8.437333742e-03
178	179	x	1.712489669e-03
178	206	y	8.437333742e-03
179	180	x	1.712489669e-03
179	207	y	8.437333742e-03
180	181	x	1.712489669e-03
180	208	y	8.437333742e-03
181	182	x	1.712489669e-03
181	209	y	8.437333742e-03
182	183	x	1.712489669e-03
182	210	y	8.437333742e-03
183	184	x	1.712489669e-03
183	211	y	8.437333742e-03
184	185	x	1.712489669e-03
184	212	y	8.437333742e-03
185	186	x	1.712489669e-03
185	213	y	8.437333742e-03
186	187	x	1.712489669e-03
186	214	y	8.437333742e-03
187	188	x	1.712489669e-03
187	215	y	8.437333742e-03
188	189	x	1.712489669e-03
188	216	y	8.437333742e-03
189	190	x	1.712489669e-03
189	217	y	8.437333742e-03
190	191	x	1.712489669e-03
190	218	y	8.437333742e-03
191	192	x	1.712489669e-03
191	219	y	8.437333742e-03
192	193	x	1.712489669e-03
192	220	y	8.437333742e-03
193	194	x	1.712489669e-03
193	221	y	8.437333742e-03
194	195	x	1.712489669e-03
194	222	y	8.437333742e-03
195	223	y	8.437333742e-03
196	197	x	1.712489669e-03
196	224	y	8.437333742e-03
197	198	x	1.712489669e-03
197	225	y	8.437333742e-03
198	199	x	1.712489669e-03
198	226	y	8.437333742e-03
199	200	x	1.712489669e-03
199	227	y	8.437333742e-03
200	201	x	1.712489669e-03
200	228	y	8.437333742e-03
201	202	x	1.712489669e-03
201	229	y	8.437333742e-03
202	203	x	1.712489669e-03
202	230	y	8.437333742e-03
203	204	x	1.712489669e-03
203	231	y	8.437333742e-03
204	205	x	1.712489669e-03
204	232	y	8.437333742e-03
205	206	x	1.712489669e-03
205	233	y	8.437333742e-03
206	207	x	1.712489669e-03
206	234	y	8.437333742e-03
207	208	x	1.712489669e-03
207	235	y	8.437333742e-03
208	209	x	1.712489669e-03
