x_idx	y_idx	drop_pct	voltage_v
5	15	0.158902050	0.998410980
6	15	0.155063821	0.998449362
7	15	0.150459850	0.998495401
8	15	0.145078707	0.998549213
9	15	0.138523995	0.998614760
10	15	0.131049968	0.998689500
11	15	0.122638519	0.998773615
12	15	0.113267505	0.998867325
13	15	0.102933740	0.998970663
14	15	0.110199868	0.998898001
15	15	0.116629200	0.998833708
16	15	0.122228874	0.998777711
17	15	0.127002493	0.998729975
18	15	0.130951384	0.998690486
19	15	0.134076087	0.998659239
20	15	0.136377406	0.998636226
21	15	0.137857870	0.998621421
22	15	0.138626242	0.998613738
23	15	0.139227628	0.998607724
24	15	0.139664184	0.998603358
25	15	0.139934768	0.998600652
26	15	0.140034872	0.998599651
27	15	0.140067022	0.998599330
0	14	0.164662101	0.998353379
1	14	0.164563685	0.998354363
2	14	0.163717132	0.998362829
3	14	0.162138745	0.998378613
4	14	0.159824383	0.998401756
5	14	0.156768329	0.998432317
6	14	0.152963602	0.998470364
7	14	0.148401891	0.998515981
8	14	0.143073816	0.998569262
9	14	0.136586049	0.998634140
10	14	0.129197768	0.998708022
11	14	0.120899034	0.998791010
12	14	0.111681914	0.998883181
13	14	0.101477018	0.998985230
14	14	0.108467266	0.998915327
15	14	0.114629195	0.998853708
16	14	0.120006027	0.998799940
17	14	0.124592150	0.998754079
18	14	0.128381986	0.998716180
19	14	0.131368548	0.998686315
20	14	0.133543205	0.998664568
21	14	0.134896537	0.998651035
22	14	0.135566166	0.998644338
23	14	0.136123757	0.998638762
24	14	0.136557949	0.998634421
25	14	0.136861914	0.998631381
26	14	0.137033484	0.998629665
27	14	0.137099557	0.998629004
0	13	0.161538152	0.998384618
1	13	0.161451102	0.998385489
2	13	0.160627522	0.998393725
3	13	0.159084109	0.998409159
4	13	0.156817279	0.998431827
5	13	0.153821915	0.998461781
6	13	0.150091636	0.998499084
7	13	0.145618699	0.998543813
8	13	0.140394198	0.998596058
9	13	0.134025343	0.998659747
10	13	0.126771872	0.998732281
11	13	0.118625024	0.998813750
12	13	0.109579667	0.998904203
13	13	0.099533364	0.999004666
14	13	0.106314783	0.998936852
15	13	0.112254383	0.998877456
16	13	0.117435514	0.998825645
