id	layer_index	layer_name	x_um	y_um	fixed_voltage	fixed_voltage_v	injected_current_a	voltage_v
4482	1	metal5	500	382	0	0	0	0.999977
4483	1	metal5	510	382	0	0	0	0.999978
4484	1	metal5	520	382	0	0	0	0.999981
4485	1	metal5	530	382	0	0	0	0.999982
4486	1	metal5	540	382	0	0	0	0.999984
4487	1	metal5	550	382	0	0	0	0.999985
4488	1	metal5	560	382	0	0	0	0.999983
4489	1	metal5	570	382	0	0	0	0.999981
4490	1	metal5	580	382	0	0	0	0.999981
4491	1	metal5	590	382	0	0	0	0.999979
4492	1	metal5	600	382	0	0	0	0.999977
4493	1	metal5	610	382	0	0	0	0.999975
4494	1	metal5	620	382	0	0	0	0.999973
4495	1	metal5	630	382	0	0	0	0.999971
4496	1	metal5	640	382	0	0	0	0.999969
4497	1	metal5	650	382	0	0	0	0.999968
4498	1	metal5	660	382	0	0	0	0.999966
4499	1	metal5	670	382	0	0	0	0.999965
4500	1	metal5	680	382	0	0	0	0.999963
4501	1	metal5	690	382	0	0	0	0.999962
4502	1	metal5	700	382	0	0	0	0.999961
4503	1	metal5	710	382	0	0	0	0.99996
4504	1	metal5	720	382	0	0	0	0.999959
4505	1	metal5	730	382	0	0	0	0.999958
4506	1	metal5	740	382	0	0	0	0.999957
4507	1	metal5	750	382	0	0	0	0.999956
4508	1	metal5	760	382	0	0	0	0.999956
4509	1	metal5	770	382	0	0	0	0.999955
4510	1	metal5	780	382	0	0	0	0.999954
4511	1	metal5	790	382	0	0	0	0.999953
4512	1	metal5	800	382	0	0	0	0.999953
4513	1	metal5	810	382	0	0	0	0.999952
4514	1	metal5	820	382	0	0	0	0.999952
4515	1	metal5	830	382	0	0	0	0.999951
4516	1	metal5	840	382	0	0	0	0.999951
4517	1	metal5	850	382	0	0	0	0.999951
4518	1	metal5	860	382	0	0	0	0.99995
4519	1	metal5	870	382	0	0	0	0.99995
4520	1	metal5	880	382	0	0	0	0.99995
4521	1	metal5	890	382	0	0	0	0.999949
4522	1	metal5	900	382	0	0	0	0.999949
