node_a	layer_a	x_a_um	y_a_um	node_b	layer_b	x_b_um	y_b_um	g_siemens
128	metal1	600.07	28	9006	metal4	600.07	28	1e+12
129	metal1	656.07	28	9007	metal4	656.07	28	1e+12
130	metal1	712.07	28	9008	metal4	712.07	28	1e+12
131	metal1	768.07	28	9009	metal4	768.07	28	1e+12
132	metal1	824.07	28	9010	metal4	824.07	28	1e+12
133	metal1	880.07	28	9011	metal4	880.07	28	1e+12
134	metal1	936.07	28	9012	metal4	936.07	28	1e+12
135	metal1	992.07	28	9013	metal4	992.07	28	1e+12
136	metal1	1048.07	28	9014	metal4	1048.07	28	1e+12
137	metal1	1086.21	28	9015	metal4	1086.21	28	1e+12
138	metal1	14.095	30.8	9039	metal4	14.095	30.8	1e+12
139	metal1	40.07	30.8	9040	metal4	40.07	30.8	1e+12
140	metal1	96.07	30.8	9041	metal4	96.07	30.8	1e+12
141	metal1	108.455	30.8	9042	metal4	108.455	30.8	1e+12
142	metal1	109.295	30.8	9043	metal4	109.295	30.8	1e+12
143	metal1	152.07	30.8	9044	metal4	152.07	30.8	1e+12
144	metal1	208.07	30.8	9045	metal4	208.07	30.8	1e+12
145	metal1	264.07	30.8	9046	metal4	264.07	30.8	1e+12
146	metal1	320.07	30.8	9047	metal4	320.07	30.8	1e+12
147	metal1	376.07	30.8	9048	metal4	376.07	30.8	1e+12
148	metal1	432.07	30.8	9049	metal4	432.07	30.8	1e+12
149	metal1	488.07	30.8	9050	metal4	488.07	30.8	1e+12
150	metal1	544.07	30.8	9051	metal4	544.07	30.8	1e+12
151	metal1	600.07	30.8	9052	metal4	600.07	30.8	1e+12
152	metal1	656.07	30.8	9053	metal4	656.07	30.8	1e+12
153	metal1	712.07	30.8	9054	metal4	712.07	30.8	1e+12
154	metal1	768.07	30.8	9055	metal4	768.07	30.8	1e+12
155	metal1	824.07	30.8	9056	metal4	824.07	30.8	1e+12
156	metal1	880.07	30.8	9057	metal4	880.07	30.8	1e+12
157	metal1	936.07	30.8	9058	metal4	936.07	30.8	1e+12
158	metal1	992.07	30.8	9059	metal4	992.07	30.8	1e+12
159	metal1	1048.07	30.8	9060	metal4	1048.07	30.8	1e+12
160	metal1	1086.21	30.8	9061	metal4	1086.21	30.8	1e+12
161	metal1	14.095	33.6	9062	metal4	14.095	33.6	1e+12
162	metal1	40.07	33.6	9063	metal4	40.07	33.6	1e+12
163	metal1	96.07	33.6	9064	metal4	96.07	33.6	1e+12
164	metal1	108.455	33.6	9065	metal4	108.455	33.6	1e+12
165	metal1	109.295	33.6	9066	metal4	109.295	33.6	1e+12
166	metal1	152.07	33.6	9067	metal4	152.07	33.6	1e+12
167	metal1	208.07	33.6	9068	metal4	208.07	33.6	1e+12
168	metal1	264.07	33.6	9069	metal4	264.07	33.6	1e+12
169	metal1	320.07	33.6	9070	metal4	320.07	33.6	1e+12
170	metal1	376.07	33.6	9071	metal4	376.07	33.6	1e+12
171	metal1	432.07	33.6	9072	metal4	432.07	33.6	1e+12
172	metal1	488.07	33.6	9073	metal4	488.07	33.6	1e+12
173	metal1	544.07	33.6	9074	metal4	544.07	33.6	1e+12
174	metal1	600.07	33.6	9075	metal4	600.07	33.6	1e+12
175	metal1	656.07	33.6	9076	metal4	656.07	33.6	1e+12
176	metal1	712.07	33.6	9077	metal4	712.07	33.6	1e+12
177	metal1	768.07	33.6	9078	metal4	768.07	33.6	1e+12
178	metal1	824.07	33.6	9079	metal4	824.07	33.6	1e+12
179	metal1	880.07	33.6	9080	metal4	880.07	33.6	1e+12
180	metal1	936.07	33.6	9081	metal4	936.07	33.6	1e+12
181	metal1	992.07	33.6	9082	metal4	992.07	33.6	1e+12
182	metal1	1048.07	33.6	9083	metal4	1048.07	33.6	1e+12
183	metal1	1086.21	33.6	9084	metal4	1086.21	33.6	1e+12
184	metal1	14.095	36.4	9085	metal4	14.095	36.4	1e+12
185	metal1	40.07	36.4	9086	metal4	40.07	36.4	1e+12
186	metal1	96.07	36.4	9087	metal4	96.07	36.4	1e+12
187	metal1	108.455	36.4	9088	metal4	108.455	36.4	1e+12
188	metal1	109.295	36.4	9089	metal4	109.295	36.4	1e+12
189	metal1	152.07	36.4	9090	metal4	152.07	36.4	1e+12
190	metal1	208.07	36.4	9091	metal4	208.07	36.4	1e+12
191	metal1	264.07	36.4	9092	metal4	264.07	36.4	1e+12
192	metal1	320.07	36.4	9093	metal4	320.07	36.4	1e+12
193	metal1	376.07	36.4	9094	metal4	376.07	36.4	1e+12
194	metal1	432.07	36.4	9095	metal4	432.07	36.4	1e+12
195	metal1	488.07	36.4	9096	metal4	488.07	36.4	1e+12
196	metal1	544.07	36.4	9097	metal4	544.07	36.4	1e+12
197	metal1	600.07	36.4	9098	metal4	600.07	36.4	1e+12
198	metal1	656.07	36.4	9099	metal4	656.07	36.4	1e+12
199	metal1	712.07	36.4	9100	metal4	712.07	36.4	1e+12
200	metal1	768.07	36.4	9101	metal4	768.07	36.4	1e+12
201	metal1	824.07	36.4	9102	metal4	824.07	36.4	1e+12
202	metal1	880.07	36.4	9103	metal4	880.07	36.4	1e+12
