instance	fp_region	pg_pin_name	pin_x_um	pin_y_um	imax_A	mapped_node_id	mapped_layer	mapped_x_um	mapped_y_um	manhattan_um
gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank/genblk1.sram_instance	gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank/genblk1.sram_instance	CENTER_FALLBACK	256.72	54.915	0.00141818	6373	metal5	255.17	59.715	6.35
gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].mem_bank/genblk1.sram_instance	gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].mem_bank/genblk1.sram_instance	CENTER_FALLBACK	1040.51	308.035	0.00141818	3465	metal5	1042.06	312.835	6.35
gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].mem_bank/genblk1.sram_instance	gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].mem_bank/genblk1.sram_instance	CENTER_FALLBACK	158.06	1047.03	0.00141818	3594	metal6	155.73	1049.6	4.905
gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].mem_bank/genblk1.sram_instance	gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].mem_bank/genblk1.sram_instance	CENTER_FALLBACK	59.4	962.605	0.00141818	3922	metal6	57.07	959.6	5.335
gen_tiles\[0\].i_tile/i_tile/gen_banks\[15\].mem_bank/genblk1.sram_instance	gen_tiles\[0\].i_tile/i_tile/gen_banks\[15\].mem_bank/genblk1.sram_instance	CENTER_FALLBACK	1040.51	139.335	0.00141818	4441	metal5	1042.06	144.135	6.35
gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].mem_bank/genblk1.sram_instance	gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].mem_bank/genblk1.sram_instance	CENTER_FALLBACK	1040.51	54.915	0.00141818	4761	metal5	1042.06	59.715	6.35
gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].mem_bank/genblk1.sram_instance	gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].mem_bank/genblk1.sram_instance	CENTER_FALLBACK	1040.51	951.685	0.00141818	5081	metal5	1042.06	956.485	6.35
gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].mem_bank/genblk1.sram_instance	gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].mem_bank/genblk1.sram_instance	CENTER_FALLBACK	941.85	54.915	0.00141818	5401	metal5	943.4	59.715	6.35
gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank/genblk1.sram_instance	gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank/genblk1.sram_instance	CENTER_FALLBACK	1040.51	223.615	0.00141818	5721	metal5	1042.06	228.415	6.35
gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].mem_bank/genblk1.sram_instance	gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].mem_bank/genblk1.sram_instance	CENTER_FALLBACK	158.06	54.915	0.00141818	6053	metal5	156.51	59.715	6.35
