id	layer_idx	layer_name	x_um	y_um	v_v	fixed	i_load_a
4900	0	metal5	1078.18	956.485	1.09926	0	0
4901	1	metal6	1078.18	956.485	1.09926	0	0
4902	0	metal5	1078.18	946.485	1.09926	0	0
4903	1	metal6	1078.18	946.485	1.09926	0	0
4904	0	metal5	1078.18	936.485	1.09926	0	0
4905	1	metal6	1078.18	936.485	1.09926	0	0
4906	0	metal5	1078.18	926.485	1.09925	0	0
4907	1	metal6	1078.18	926.485	1.09926	0	0
4908	0	metal5	1068.18	976.485	1.09926	0	0
4909	1	metal6	1068.18	976.485	1.09926	0	0
4910	0	metal5	1068.18	966.485	1.09926	0	0
4911	1	metal6	1068.18	966.485	1.09926	0	0
4912	0	metal5	1068.18	956.485	1.09926	0	0
4913	1	metal6	1068.18	956.485	1.09926	0	0
4914	0	metal5	1068.18	946.485	1.09926	0	0
4915	1	metal6	1068.18	946.485	1.09926	0	0
4916	0	metal5	1068.18	936.485	1.09926	0	0
4917	1	metal6	1068.18	936.485	1.09926	0	0
4918	0	metal5	1068.18	926.485	1.09925	0	0
4919	1	metal6	1068.18	926.485	1.09926	0	0
4920	0	metal5	1058.18	976.485	1.09926	0	0
4921	1	metal6	1058.18	976.485	1.09926	0	0
4922	0	metal5	1058.18	966.485	1.09926	0	0
4923	1	metal6	1058.18	966.485	1.09926	0	0
4924	0	metal5	1058.18	956.485	1.09926	0	0
4925	1	metal6	1058.18	956.485	1.09926	0	0
4926	0	metal5	1058.18	946.485	1.09926	0	0
4927	1	metal6	1058.18	946.485	1.09926	0	0
4928	0	metal5	1058.18	936.485	1.09926	0	0
4929	1	metal6	1058.18	936.485	1.09926	0	0
4930	0	metal5	1058.18	926.485	1.09925	0	0
4931	1	metal6	1058.18	926.485	1.09926	0	0
4932	0	metal5	1048.18	976.485	1.09926	0	0
4933	1	metal6	1048.18	976.485	1.09926	0	0
4934	0	metal5	1048.18	966.485	1.09926	0	0
4935	1	metal6	1048.18	966.485	1.09926	0	0
4936	0	metal5	1048.18	956.485	1.09925	0	0
4937	1	metal6	1048.18	956.485	1.09926	0	0
4938	0	metal5	1048.18	946.485	1.09926	0	0
4939	1	metal6	1048.18	946.485	1.09926	0	0
4940	0	metal5	1048.18	936.485	1.09926	0	0
4941	1	metal6	1048.18	936.485	1.09926	0	0
4942	0	metal5	1048.18	926.485	1.09925	0	0
4943	1	metal6	1048.18	926.485	1.09926	0	0
4944	0	metal5	1038.18	976.485	1.09926	0	0
4945	1	metal6	1038.18	976.485	1.09926	0	0
4946	0	metal5	1038.18	966.485	1.09926	0	0
4947	1	metal6	1038.18	966.485	1.09926	0	0
4948	0	metal5	1038.18	956.485	1.09925	0	0
4949	1	metal6	1038.18	956.485	1.09926	0	0
4950	0	metal5	1038.18	946.485	1.09926	0	0
4951	1	metal6	1038.18	946.485	1.09926	0	0
4952	0	metal5	1038.18	936.485	1.09926	0	0
4953	1	metal6	1038.18	936.485	1.09926	0	0
4954	0	metal5	1038.18	926.485	1.09925	0	0
4955	1	metal6	1038.18	926.485	1.09926	0	0
4956	0	metal5	1028.18	976.485	1.09926	0	0
4957	1	metal6	1028.18	976.485	1.09926	0	0
4958	0	metal5	1028.18	966.485	1.09926	0	0
4959	1	metal6	1028.18	966.485	1.09926	0	0
4960	0	metal5	1028.18	956.485	1.09926	0	0
4961	1	metal6	1028.18	956.485	1.09926	0	0
4962	0	metal5	1028.18	946.485	1.09926	0	0
4963	1	metal6	1028.18	946.485	1.09926	0	0
4964	0	metal5	1028.18	936.485	1.09926	0	0
4965	1	metal6	1028.18	936.485	1.09926	0	0
4966	0	metal5	1028.18	926.485	1.09925	0	0
4967	1	metal6	1028.18	926.485	1.09926	0	0
4968	0	metal5	1018.18	976.485	1.09926	0	0
4969	1	metal6	1018.18	976.485	1.09926	0	0
4970	0	metal5	1018.18	966.485	1.09926	0	0
4971	1	metal6	1018.18	966.485	1.09926	0	0
4972	0	metal5	1018.18	956.485	1.09926	0	0
4973	1	metal6	1018.18	956.485	1.09926	0	0
4974	0	metal5	1018.18	946.485	1.09926	0	0
4975	1	metal6	1018.18	946.485	1.09926	0	0
4976	0	metal5	1018.18	936.485	1.09926	0	0
4977	1	metal6	1018.18	936.485	1.09926	0	0
4978	0	metal5	1018.18	926.485	1.09924	0	0
4979	1	metal6	1018.18	926.485	1.09925	0	0
4980	0	metal5	1008.18	976.485	1.09926	0	0
4981	1	metal6	1008.18	976.485	1.09927	0	0
4982	0	metal5	1008.18	966.485	1.09927	0	0
4983	1	metal6	1008.18	966.485	1.09927	0	0
4984	0	metal5	1008.18	956.485	1.09926	0	0
4985	1	metal6	1008.18	956.485	1.09927	0	0
4986	0	metal5	1008.18	946.485	1.09926	0	0
4987	1	metal6	1008.18	946.485	1.09926	0	0
4988	0	metal5	1008.18	936.485	1.09926	0	0
4989	1	metal6	1008.18	936.485	1.09926	0	0
4990	0	metal5	1008.18	926.485	1.09925	0	0
4991	1	metal6	1008.18	926.485	1.09926	0	0
4992	3	metal4	1073.42	976.485	1.09926	0	0
4993	0	metal5	1073.42	976.485	1.09926	0	0
4994	3	metal4	1073.42	966.485	1.09926	0	0
4995	0	metal5	1073.42	966.485	1.09926	0	0
4996	3	metal4	1073.42	956.485	1.09926	0	0
4997	0	metal5	1073.42	956.485	1.09926	0	0
4998	3	metal4	1073.42	946.485	1.09926	0	0
4999	0	metal5	1073.42	946.485	1.09926	0	0
5000	3	metal4	1073.42	936.485	1.09926	0	0
5001	0	metal5	1073.42	936.485	1.09926	0	0
5002	3	metal4	1073.42	926.485	1.09923	0	0.000507884
5003	0	metal5	1073.42	926.485	1.09925	0	0
5004	3	metal4	1068.94	976.485	1.09926	0	0
5005	0	metal5	1068.94	976.485	1.09926	0	0
5006	3	metal4	1068.94	966.485	1.09926	0	0
5007	0	metal5	1068.94	966.485	1.09926	0	0
5008	3	metal4	1068.94	956.485	1.09926	0	0
5009	0	metal5	1068.94	956.485	1.09926	0	0
5010	3	metal4	1068.94	946.485	1.09926	0	0
5011	0	metal5	1068.94	946.485	1.09926	0	0
5012	3	metal4	1068.94	936.485	1.09926	0	0
5013	0	metal5	1068.94	936.485	1.09926	0	0
5014	3	metal4	1068.94	926.485	1.09925	0	0
5015	0	metal5	1068.94	926.485	1.09925	0	0
5016	3	metal4	1064.46	976.485	1.09926	0	0
5017	0	metal5	1064.46	976.485	1.09926	0	0
5018	3	metal4	1064.46	966.485	1.09926	0	0
5019	0	metal5	1064.46	966.485	1.09926	0	0
5020	3	metal4	1064.46	956.485	1.09926	0	0
5021	0	metal5	1064.46	956.485	1.09926	0	0
5022	3	metal4	1064.46	946.485	1.09926	0	0
5023	0	metal5	1064.46	946.485	1.09926	0	0
5024	3	metal4	1064.46	936.485	1.09926	0	0
5025	0	metal5	1064.46	936.485	1.09926	0	0
5026	3	metal4	1064.46	926.485	1.09925	0	0
5027	0	metal5	1064.46	926.485	1.09925	0	0
