net	sig_type	shape_kind	layer	llx_um	lly_um	urx_um	ury_um	cx_um	cy_um
VDD	POWER	via	?	265.57	1023.56	265.85	1024.49	265.71	1024.025
VDD	POWER	via	?	261.09	1073.56	261.37	1074.49	261.23	1074.025
VDD	POWER	via	?	261.09	1063.56	261.37	1064.49	261.23	1064.025
VDD	POWER	via	?	261.09	1053.56	261.37	1054.49	261.23	1054.025
VDD	POWER	via	?	261.09	1043.56	261.37	1044.49	261.23	1044.025
VDD	POWER	via	?	261.09	1033.56	261.37	1034.49	261.23	1034.025
VDD	POWER	via	?	261.09	1023.56	261.37	1024.49	261.23	1024.025
VDD	POWER	via	?	256.61	1073.56	256.89	1074.49	256.75	1074.025
VDD	POWER	via	?	256.61	1063.56	256.89	1064.49	256.75	1064.025
VDD	POWER	via	?	256.61	1053.56	256.89	1054.49	256.75	1054.025
VDD	POWER	via	?	256.61	1043.56	256.89	1044.49	256.75	1044.025
VDD	POWER	via	?	256.61	1033.56	256.89	1034.49	256.75	1034.025
VDD	POWER	via	?	256.61	1023.56	256.89	1024.49	256.75	1024.025
VDD	POWER	via	?	252.13	1073.56	252.41	1074.49	252.27	1074.025
VDD	POWER	via	?	252.13	1063.56	252.41	1064.49	252.27	1064.025
VDD	POWER	via	?	252.13	1053.56	252.41	1054.49	252.27	1054.025
VDD	POWER	via	?	252.13	1043.56	252.41	1044.49	252.27	1044.025
VDD	POWER	via	?	252.13	1033.56	252.41	1034.49	252.27	1034.025
VDD	POWER	via	?	252.13	1023.56	252.41	1024.49	252.27	1024.025
VDD	POWER	via	?	247.65	1073.56	247.93	1074.49	247.79	1074.025
VDD	POWER	via	?	247.65	1063.56	247.93	1064.49	247.79	1064.025
VDD	POWER	via	?	247.65	1053.56	247.93	1054.49	247.79	1054.025
VDD	POWER	via	?	247.65	1043.56	247.93	1044.49	247.79	1044.025
VDD	POWER	via	?	247.65	1033.56	247.93	1034.49	247.79	1034.025
VDD	POWER	via	?	247.65	1023.56	247.93	1024.49	247.79	1024.025
